REPORT_DT,WO_CREATE_DT,WO_NUM,LABEL,DEAL_NUM,DEAL_DESC,DEAL_QTY,QTY_REQ,FG_ITEM,PRIM_SUFFIX,DIST_SUFFIX,PKG_SUFFIX,ITEM_DESC,FG_ITEM_QTY,DUE_SHIP_DT,PIPELINE_DEAL,ORDER_STATUS,BULK_ITEM,BULK_QTY,MFGID,LOCATION,SCHEDULE_DT,INITIAL,CUST_SEGMENT,COMMENTS,DEAL_PRICE,MONTH,YEAR,INITIAL_DFU,DISPLY_PIPELINE,WK_DEAL_INV,WK_DEAL_QTY,CUSTOMER,WK_NUMBER,DC_TGT_DUE_DT,FG_AVAIL_DT,BULK_AVAIL_DT,BULK_MFG,FG_AVAIL_WK,BULK_AVAIL_WK,FG_WK_YEAR,BULK_WK_YEAR,DEAL_WK_YEAR,FG_WK_OF,BULK_WK_OF,WK_START_OF,ACC_DNA_AFTR_SCH,DEAL_BRAND,DOSAGE,BRAND,WO_STATUS,CHANNEL,PKG_ENVIRONMENT,BULK_DESC,DFU
28-Mar-19,27-Mar-19,71779,DE,56686,56686- Description,1,9734,81495,ACNU,ACNU,ACNU,81495 - Description,9734,03-Jun-19, PIPELINE,UNFRMD,,0,,45,,OR,200000032,200000032 - Comments,0,JUN,2019,81495_ACNU_ACNU,Pipeline,0,0,CUSTOMER 58,23,03-Jun-19,03-Jun-19,03-Jun-19,0,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,,,,,,,81495_ACNU_ACNU
28-Mar-19,27-Mar-19,71780,DE,56686,56686- Description,1,450,80467,0055,0050,05NB,80467 - Description,450,03-Jun-19, PIPELINE,UNFRMD,6555,40500,CAPS,46,,OR,120500,120500 - Comments,0,JUN,2019,80467_0055_0050,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,CAPS,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 59,BRAND 8,SFG,COMPANY,,WHOLESALE,US,6555 - Description,80467_0055_0050
28-Mar-19,27-Mar-19,71780,DE,56686,56686- Description,1,600,80477,0055,0050,0055,80477 - Description,600,03-Jun-19, PIPELINE,UNFRMD,,0,,46,,OR,120500,120500 - Comments,0,JUN,2019,80477_0055_0050,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,0,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,,BRAND 8,GMY,OPTIMAL SOLUTIONS,,WHOLESALE,EU,,80477_0055_0050
28-Mar-19,27-Mar-19,71780,DE,56686,56686- Description,1,600,80478,0055,0050,0055,80478 - Description,600,03-Jun-19, PIPELINE,UNFRMD,,0,,46,,OR,120500,120500 - Comments,0,JUN,2019,80478_0055_0050,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,0,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,GMY,OPTIMAL SOLUTIONS,,WHOLESALE,EU,,80478_0055_0050
28-Mar-19,27-Mar-19,71780,DE,56686,56686- Description,1,300,80484,0055,0050,05NB,80484 - Description,300,03-Jun-19, PIPELINE,UNFRMD,80912,15000,B/N,46,,OR,120500,120500 - Comments,0,JUN,2019,80484_0055_0050,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,B/N,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,TAB,COMPANY,,WHOLESALE,US,80912 - Description,80484_0055_0050
28-Mar-19,27-Mar-19,71780,DE,56686,56686- Description,1,450,80486,0055,0050,05NB,80486 - Description,450,03-Jun-19, PIPELINE,UNFRMD,80881,36000,REXL,46,,OR,120500,120500 - Comments,0,JUN,2019,80486_0055_0050,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,REXL,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,TAB,COMPANY,,WHOLESALE,US,80881 - Description,80486_0055_0050
28-Mar-19,27-Mar-19,71780,DE,56686,56686- Description,1,450,80487,0055,0050,05NB,80487 - Description,450,03-Jun-19, PIPELINE,UNFRMD,80883,45000,REXL,46,,OR,120500,120500 - Comments,0,JUN,2019,80487_0055_0050,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,REXL,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,TAB,COMPANY,,WHOLESALE,US,80883 - Description,80487_0055_0050
28-Mar-19,27-Mar-19,71780,DE,56686,56686- Description,1,450,80488,0055,0050,05NB,80488 - Description,450,03-Jun-19, PIPELINE,UNFRMD,80886,36000,REXL,46,,OR,120500,120500 - Comments,0,JUN,2019,80488_0055_0050,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,REXL,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,TAB,COMPANY,,WHOLESALE,US,80886 - Description,80488_0055_0050
28-Mar-19,27-Mar-19,71780,DE,56686,56686- Description,1,450,80489,0055,0050,05NB,80489 - Description,450,03-Jun-19, PIPELINE,UNFRMD,80880,45000,REXL,46,,OR,120500,120500 - Comments,0,JUN,2019,80489_0055_0050,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,REXL,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,TAB,COMPANY,,WHOLESALE,US,80880 - Description,80489_0055_0050
28-Mar-19,27-Mar-19,71780,DE,56686,56686- Description,1,450,80492,0055,0050,05NB,80492 - Description,450,03-Jun-19, PIPELINE,UNFRMD,80879,36000,REXL,46,,OR,120500,120500 - Comments,0,JUN,2019,80492_0055_0050,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,REXL,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,TAB,COMPANY,,WHOLESALE,US,80879 - Description,80492_0055_0050
28-Mar-19,27-Mar-19,71780,DE,56686,56686- Description,1,480,80731,0055,0050,0055,80731 - Description,480,03-Jun-19, PIPELINE,UNFRMD,,0,,46,,OR,120500,120500 - Comments,0,JUN,2019,80731_0055_0050,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,0,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 18,BRAND 8,TAB,COMPANY,,WHOLESALE,EU,,80731_0055_0050
28-Mar-19,27-Mar-19,71781,DE,56686,56686- Description,1,300,59220,ACNU,ACNU,ACNU,59220 - Description,300,06-May-19, PIPELINE,UNFRMD,,0,,45,,OR,200000017,200000017 - Comments,0,MAY,2019,59220_ACNU_ACNU,Pipeline,0,0,CUSTOMER 57,19,06-May-19,06-May-19,06-May-19,0,19,19,19_2019,19_2019,19_2019,29-APR-19,29-APR-19,29-APR-19,ACCOUNT DESC 58,BRAND 8,BAR,PURE PROTEIN BARS,,WHOLESALE,EU,,59220_ACNU_ACNU
28-Mar-19,27-Mar-19,71781,DE,56686,56686- Description,1,300,80235,ACNU,ACNU,ACNU,80235 - Description,300,06-May-19, PIPELINE,UNFRMD,,0,,45,,OR,200000017,200000017 - Comments,0,MAY,2019,80235_ACNU_ACNU,Pipeline,0,0,CUSTOMER 57,19,06-May-19,06-May-19,06-May-19,0,19,19,19_2019,19_2019,19_2019,29-APR-19,29-APR-19,29-APR-19,ACCOUNT DESC 58,BRAND 8,BAR,PURE PROTEIN BARS,,WHOLESALE,EU,,80235_ACNU_ACNU
28-Mar-19,27-Mar-19,71781,DE,56686,56686- Description,1,300,80954,ACNU,ACNU,ACNU,80954 - Description,300,06-May-19, PIPELINE,UNFRMD,,0,,45,,OR,200000017,200000017 - Comments,0,MAY,2019,80954_ACNU_ACNU,Pipeline,0,0,CUSTOMER 57,19,06-May-19,06-May-19,06-May-19,0,19,19,19_2019,19_2019,19_2019,29-APR-19,29-APR-19,29-APR-19,ACCOUNT DESC 58,BRAND 8,BAR,PURE PROTEIN BARS,,WHOLESALE,EU,,80954_ACNU_ACNU
28-Mar-19,27-Mar-19,71781,DE,56686,56686- Description,1,300,80956,ACNU,ACNU,ACNU,80956 - Description,300,06-May-19, PIPELINE,UNFRMD,,0,,45,,OR,200000017,200000017 - Comments,0,MAY,2019,80956_ACNU_ACNU,Pipeline,0,0,CUSTOMER 57,19,06-May-19,06-May-19,06-May-19,0,19,19,19_2019,19_2019,19_2019,29-APR-19,29-APR-19,29-APR-19,ACCOUNT DESC 58,BRAND 8,BAR,PURE PROTEIN BARS,,WHOLESALE,EU,,80956_ACNU_ACNU
28-Mar-19,27-Mar-19,71782,DE,56686,56686- Description,1,675,80467,0055,0055,05NB,80467 - Description,675,03-Jun-19, PIPELINE,UNFRMD,6555,60750,CAPS,45,,OR,120500,120500 - Comments,0,JUN,2019,80467_0055_0055,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,CAPS,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,SFG,COMPANY,,WHOLESALE,US,6555 - Description,80467_0055_0055
28-Mar-19,27-Mar-19,71782,DE,56686,56686- Description,1,900,80477,0055,0055,0055,80477 - Description,900,03-Jun-19, PIPELINE,UNFRMD,,0,,45,,OR,120500,120500 - Comments,0,JUN,2019,80477_0055_0055,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,0,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,GMY,OPTIMAL SOLUTIONS,,WHOLESALE,EU,,80477_0055_0055
28-Mar-19,27-Mar-19,71782,DE,56686,56686- Description,1,900,80478,0055,0055,0055,80478 - Description,900,03-Jun-19, PIPELINE,UNFRMD,,0,,45,,OR,120500,120500 - Comments,0,JUN,2019,80478_0055_0055,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,0,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,,BRAND 8,GMY,OPTIMAL SOLUTIONS,,WHOLESALE,EU,,80478_0055_0055
28-Mar-19,27-Mar-19,71782,DE,56686,56686- Description,1,450,80484,0055,0055,05NB,80484 - Description,450,03-Jun-19, PIPELINE,UNFRMD,80912,22500,B/N,45,,OR,120500,120500 - Comments,0,JUN,2019,80484_0055_0055,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,B/N,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,TAB,COMPANY,,WHOLESALE,US,80912 - Description,80484_0055_0055
28-Mar-19,27-Mar-19,71782,DE,56686,56686- Description,1,675,80486,0055,0055,05NB,80486 - Description,675,03-Jun-19, PIPELINE,UNFRMD,80881,54000,REXL,45,,OR,120500,120500 - Comments,0,JUN,2019,80486_0055_0055,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,REXL,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,TAB,COMPANY,,WHOLESALE,US,80881 - Description,80486_0055_0055
28-Mar-19,27-Mar-19,71782,DE,56686,56686- Description,1,675,80487,0055,0055,05NB,80487 - Description,675,03-Jun-19, PIPELINE,UNFRMD,80883,67500,REXL,45,,OR,120500,120500 - Comments,0,JUN,2019,80487_0055_0055,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,REXL,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,TAB,COMPANY,,WHOLESALE,US,80883 - Description,80487_0055_0055
28-Mar-19,27-Mar-19,71782,DE,56686,56686- Description,1,675,80488,0055,0055,05NB,80488 - Description,675,03-Jun-19, PIPELINE,UNFRMD,80886,54000,REXL,45,,OR,120500,120500 - Comments,0,JUN,2019,80488_0055_0055,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,REXL,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,TAB,COMPANY,,WHOLESALE,US,80886 - Description,80488_0055_0055
28-Mar-19,27-Mar-19,71782,DE,56686,56686- Description,1,675,80489,0055,0055,05NB,80489 - Description,675,03-Jun-19, PIPELINE,UNFRMD,80880,67500,REXL,45,,OR,120500,120500 - Comments,0,JUN,2019,80489_0055_0055,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,REXL,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,TAB,COMPANY,,WHOLESALE,US,80880 - Description,80489_0055_0055
28-Mar-19,27-Mar-19,71782,DE,56686,56686- Description,1,675,80492,0055,0055,05NB,80492 - Description,675,03-Jun-19, PIPELINE,UNFRMD,80879,54000,REXL,45,,OR,120500,120500 - Comments,0,JUN,2019,80492_0055_0055,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,REXL,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 11,BRAND 8,TAB,COMPANY,,WHOLESALE,US,80879 - Description,80492_0055_0055
28-Mar-19,27-Mar-19,71782,DE,56686,56686- Description,1,720,80731,0055,0055,0055,80731 - Description,720,03-Jun-19, PIPELINE,UNFRMD,,0,,45,,OR,120500,120500 - Comments,0,JUN,2019,80731_0055_0055,Pipeline,0,0,CUSTOMER 57,23,03-Jun-19,03-Jun-19,03-Jun-19,0,23,23,23_2019,23_2019,23_2019,27-MAY-19,27-MAY-19,27-MAY-19,ACCOUNT DESC 58,BRAND 8,TAB,COMPANY,,WHOLESALE,EU,,80731_0055_0055
28-Mar-19,27-Mar-19,54837,NB,81226,81226- Description,80,4,80386,0055,0055,0055,80386 - Description,320,03-Jun-19,,UNFRMD,,0,,45,,GW,458699,458699 - Comments,250.08,JUN,2019,80386_0055_0055,Display,0,0,CUSTOMER 23,23,20-May-19,03-May-19,03-Apr-19,0,18,14,18_2019,14_2019,23_2019,22-APR-19,25-MAR-19,27-MAY-19,ACCOUNT DESC 27,BRAND 9,SFG,OPTIMAL SOLUTIONS,,WHOLESALE,EU,,80386_0055_0055
28-Mar-19,27-Mar-19,54837,NB,81226,81226- Description,80,4,80388,0055,0055,0055,80388 - Description,320,03-Jun-19,,UNFRMD,,0,,45,,GW,458699,458699 - Comments,250.08,JUN,2019,80388_0055_0055,Display,0,0,CUSTOMER 23,23,20-May-19,03-May-19,03-Apr-19,0,18,14,18_2019,14_2019,23_2019,22-APR-19,25-MAR-19,27-MAY-19,ACCOUNT DESC 24,BRAND 9,SFG,OPTIMAL SOLUTIONS,,WHOLESALE,EU,,80388_0055_0055
28-Mar-19,27-Mar-19,54837,NB,81226,81226- Description,80,4,80389,0055,0055,0055,80389 - Description,320,03-Jun-19,,UNFRMD,,0,,45,,GW,458699,458699 - Comments,250.08,JUN,2019,80389_0055_0055,Display,0,0,CUSTOMER 23,23,20-May-19,03-May-19,03-Apr-19,0,18,14,18_2019,14_2019,23_2019,22-APR-19,25-MAR-19,27-MAY-19,ACCOUNT DESC 24,BRAND 9,SFG,OPTIMAL SOLUTIONS,,WHOLESALE,EU,,80389_0055_0055
28-Mar-19,27-Mar-19,54837,NB,81226,81226- Description,80,4,80390,0055,0055,0055,80390 - Description,320,03-Jun-19,,UNFRMD,,0,,45,,GW,458699,458699 - Comments,250.08,JUN,2019,80390_0055_0055,Display,0,0,CUSTOMER 23,23,20-May-19,03-May-19,03-Apr-19,0,18,14,18_2019,14_2019,23_2019,22-APR-19,25-MAR-19,27-MAY-19,ACCOUNT DESC 24,BRAND 9,SFG,OPTIMAL SOLUTIONS,,WHOLESALE,EU,,80390_0055_0055
28-Mar-19,27-Mar-19,54838,AE,81234,81234- Description,200,4,78572,ACNU,ACNU,ACNU,78572 - Description,800,10-Jun-19,,UNFRMD,,0,,45,,GW,200007760,200007760 - Comments,135.84,JUN,2019,78572_ACNU_ACNU,Display,0,0,CUSTOMER 12,24,27-May-19,10-May-19,10-Apr-19,0,19,15,19_2019,15_2019,24_2019,29-APR-19,01-APR-19,03-JUN-19,ACCOUNT DESC 24,BRAND 3,PWD,BODY FORTRESS,,WHOLESALE,EU,,78572_ACNU_ACNU
28-Mar-19,27-Mar-19,54838,AE,81234,81234- Description,200,4,78574,ACNU,ACNU,ACNU,78574 - Description,800,10-Jun-19,,UNFRMD,,0,,45,,GW,200007760,200007760 - Comments,135.84,JUN,2019,78574_ACNU_ACNU,Display,0,0,CUSTOMER 12,24,27-May-19,10-May-19,10-Apr-19,0,19,15,19_2019,15_2019,24_2019,29-APR-19,01-APR-19,03-JUN-19,ACCOUNT DESC 13,BRAND 3,PWD,BODY FORTRESS,,WHOLESALE,EU,,78574_ACNU_ACNU
28-Mar-19,27-Mar-19,54839,NB,81228,81228- Description,1500,16,80731,0055,0055,0055,80731 - Description,24000,08-Jul-19,,UNFRMD,,0,,45,,EC,751423,751423 - Comments,143.84,JUL,2019,80731_0055_0055,Display,0,0,CUSTOMER 67,28,24-Jun-19,08-Jun-19,08-May-19,0,23,19,23_2019,19_2019,28_2019,27-MAY-19,29-APR-19,01-JUL-19,ACCOUNT DESC 13,BRAND 5,TAB,COMPANY,,WHOLESALE,EU,,80731_0055_0055
28-Mar-19,27-Mar-19,54841,NB,59706,59706- Description,367,4,1380,0055,0055,05NB,1380 - Description,1468,13-May-19,,UNFRMD,1380,146800,ABCD,45,,EC,751423,751423 - Comments,154.52,MAY,2019,1380_0055_0055,Display,141550.993,3749,CUSTOMER 67,20,29-Apr-19,13-Apr-19,13-Mar-19,ABCD,15,11,15_2019,11_2019,20_2019,01-APR-19,04-MAR-19,06-MAY-19,ACCOUNT DESC 68,BRAND 5,TAB,COMPANY,,WHOLESALE,US,1380 - Description,1380_0055_0055
28-Mar-19,27-Mar-19,54841,NB,59706,59706- Description,367,4,82610,0055,0055,05NB,82610 - Description,1468,13-May-19,,UNFRMD,50978,176160,ABCD,45,,EC,751423,751423 - Comments,154.52,MAY,2019,82610_0055_0055,Display,141550.993,3749,CUSTOMER 67,20,29-Apr-19,13-Apr-19,13-Mar-19,ABCD,15,11,15_2019,11_2019,20_2019,01-APR-19,04-MAR-19,06-MAY-19,ACCOUNT DESC 68,BRAND 5,TAB,COMPANY,,WHOLESALE,US,50978 - Description,82610_0055_0055
28-Mar-19,27-Mar-19,54841,NB,59706,59706- Description,367,4,84349,0055,0055,05NB,84349 - Description,1468,13-May-19,,UNFRMD,36115,176160,B/N,45,,EC,751423,751423 - Comments,154.52,MAY,2019,84349_0055_0055,Display,141550.993,3749,CUSTOMER 67,20,29-Apr-19,13-Apr-19,13-Mar-19,B/N,15,11,15_2019,11_2019,20_2019,01-APR-19,04-MAR-19,06-MAY-19,ACCOUNT DESC 68,BRAND 5,SFG,COMPANY,,WHOLESALE,US,36115 - Description,84349_0055_0055
28-Mar-19,27-Mar-19,54841,NB,59706,59706- Description,367,4,87800,0055,0055,05NB,87800 - Description,1468,13-May-19,,UNFRMD,36338,176160,ABCD,45,,EC,751423,751423 - Comments,154.52,MAY,2019,87800_0055_0055,Display,141550.993,3749,CUSTOMER 67,20,29-Apr-19,13-Apr-19,13-Mar-19,ABCD,15,11,15_2019,11_2019,20_2019,01-APR-19,04-MAR-19,06-MAY-19,ACCOUNT DESC 68,BRAND 5,SFG,COMPANY,,WHOLESALE,US,36338 - Description,87800_0055_0055
28-Mar-19,27-Mar-19,54841,NB,59706,59706- Description,367,4,88745,0055,0055,05NB,88745 - Description,1468,13-May-19,,UNFRMD,29615,132120,CAPS,45,,EC,751423,751423 - Comments,154.52,MAY,2019,88745_0055_0055,Display,141550.993,3749,CUSTOMER 67,20,29-Apr-19,13-Apr-19,13-Mar-19,CAPS,15,11,15_2019,11_2019,20_2019,01-APR-19,04-MAR-19,06-MAY-19,ACCOUNT DESC 68,BRAND 5,SFG,COMPANY,,WHOLESALE,US,29615 - Description,88745_0055_0055
28-Mar-19,27-Mar-19,54842,NB,78602,78602- Description,1490,2,1603,0055,0055,05NB,1603 - Description,2980,24-Jun-19,,UNFRMD,1602,268200,REXL,45,,GW,555905,555905 - Comments,259.88,JUN,2019,1603_0055_0055,Display,0,0,CUSTOMER 1,26,10-Jun-19,24-May-19,24-Apr-19,REXL,21,17,21_2019,17_2019,26_2019,13-MAY-19,15-APR-19,17-JUN-19,ACCOUNT DESC 3,BRAND 5,CAP,COMPANY,,WHOLESALE,US,1602 - Description,1603_0055_0055
